id,estado,nave,columna,fila,imagen
I-1937,EOAT,3,C01,1,I-1937.jpeg
I-1911,EOAT,3,C01,1,I-1911.jpeg
I-1906,EOAT,3,C01,2,I-1906.jpeg
I-1905,EOAT,3,C01,2,I-1905.jpeg
I-1926,EOAT,3,C01,3,I-1926.jpeg
I-1864,EOAT,3,C01,3,I-1864.jpeg
I-1936,EOAT,3,C02,1,I-1936.jpeg
I-1904,EOAT,3,C02,1,I-1904.jpeg
I-1884,EOAT,3,C02,2,I-1884.jpeg
I-1882,EOAT,3,C02,2,I-1882.jpeg
I-1883,EOAT,3,C02,3,I-1883.jpeg
I-1880,EOAT,3,C02,3,I-1880.jpeg
I-1881,EOAT,3,C03,1,I-1881.jpeg
I-1875,EOAT,3,C03,1,I-1875.jpeg
I-1859,EOAT,3,C03,2,I-1859.jpeg
I-1858,EOAT,3,C03,2,I-1858.jpeg
I-1840,EOAT,3,C03,3,I-1840.jpeg
I-1839,EOAT,3,C03,3,I-1839.jpeg
I-1834,EOAT,3,C03,3,I-1834.jpeg
I-1857,EOAT,3,C04,1,I-1857.jpeg
I-1846,EOAT,3,C04,1,I-1846.jpeg
I-1824,EOAT,3,C04,2,I-1824.jpeg
I-1817,EOAT,3,C04,2,I-1817.jpeg
I-1816,EOAT,3,C04,3,I-1816.jpeg
I-1812,EOAT,3,C04,3,I-1812.jpeg
I-1804,EOAT,3,C05,1,I-1804.jpeg
I-1803,EOAT,3,C05,1,I-1803.jpeg
I-1802,EOAT,3,C05,2,I-1802.jpeg
I-1800,EOAT,3,C05,2,I-1800.jpeg
I-1789,EOAT,3,C05,3,I-1789.jpeg
I-1720,EOAT,3,C05,3,I-1720.jpeg
I-1799,EOAT,3,C06,1,I-1799.jpeg
I-1798,EOAT,3,C06,1,I-1798.jpeg
I-1788,EOAT,3,C06,2,I-1788.jpeg
I-1745,EOAT,3,C06,2,I-1745.jpeg
I-1719,EOAT,3,C06,3,I-1719.jpeg
I-1718,EOAT,3,C06,3,I-1718.jpeg
I-1700,EOAT,3,C07,1,I-1700.jpeg
I-1698,EOAT,3,C07,1,I-1698.jpeg
I-1696,EOAT,3,C07,2,I-1696.jpeg
I-1695,EOAT,3,C07,3,I-1695.jpeg
I-1694,EOAT,3,C07,3,I-1694.jpeg
I-1680,EOAT,3,C08,1,I-1680.jpeg
I-1668,EOAT,3,C08,1,I-1668.jpeg
I-1693,EOAT,3,C08,2,I-1693.jpeg
I-1640,EOAT,3,C08,3,I-1640.jpeg
I-1634,EOAT,3,C08,3,I-1634.jpeg
I-1629,EOAT,3,C09,1,I-1629.jpeg
I-1907,EOAT,3,C09,2,I-1907.jpeg
I-1622,EOAT,3,C09,3,I-1622.jpeg
I-1610,EOAT,3,C10,1,I-1610.jpeg
I-1805,EOAT,3,C10,2,I-1805.jpeg
I-1697,EOAT,3,C10,3,I-1697.jpeg
I-1691,EOAT,3,C10,3,I-1691.jpeg
I-1592,EOAT,3,C11,1,I-1592.jpeg
I-1591,EOAT,3,C11,1,I-1591.jpeg
I-1553,EOAT,3,C11,2,I-1553.jpeg
,Obstruido,3,C11,3,
,Obstruido,3,C12,1,
,Obstruido,3,C12,2,
,Obstruido,3,C12,3,
I-1595,EOAT,2,C13,1,I-1595.jpeg
I-1593,EOAT,2,C13,1,I-1593.jpeg
I-1620,EOAT,2,C13,2,I-1620.jpeg
I-1598,EOAT,2,C13,3,I-1598.jpeg
I-1597,EOAT,2,C13,3,I-1597.jpeg
I-1635,EOAT,2,C14,1,I-1635.jpeg
I-1630,EOAT,2,C14,2,I-1630.jpeg
I-1623,EOAT,2,C14,3,I-1623.jpeg
I-1711,EOAT,2,C15,1,I-1711.jpeg
I-1707,EOAT,2,C15,1,I-1707.jpeg
I-1678,EOAT,2,C15,2,I-1678.jpeg
I-1657,EOAT,2,C15,2,I-1657.jpeg
I-1701,EOAT,2,C15,3,I-1701.jpeg
I-1666,EOAT,2,C15,3,I-1666.jpeg
I-1791,EOAT,2,C16,1,I-1791.jpeg
I-1790,EOAT,2,C16,1,I-1790.jpeg
I-1752,EOAT,2,C16,2,I-1752.jpeg
I-1713,EOAT,2,C16,2,I-1713.jpeg
I-1712,EOAT,2,C16,3,I-1712.jpeg
I-1703,EOAT,2,C16,3,I-1703.jpeg
,Libre,3,C17,1,
,Libre,3,C17,2,
,Libre,3,C17,3,
I-1689,EOAT,3,C18,1,I-1689.jpeg
I-1564,EOAT,3,C18,2,I-1564.jpeg
I-1472,EOAT,3,C18,2,I-1472.jpeg
I-1216,EOAT,3,C18,3,I-1216.jpeg
I-1938,EOAT,3,C19,1,I-1938.jpeg
I-1888,EOAT,3,C19,1,I-1888.jpeg
I-1641,EOAT,3,C19,2,I-1641.jpeg
I-1599,EOAT,3,C19,2,I-1599.jpeg
I-1544,EOAT,3,C19,3,I-1544.jpeg
I-1914,EOAT,3,C20,1,I-1914.jpeg
I-1901,EOAT,3,C20,1,I-1901.jpeg
I-1797,EOAT,3,C20,2,I-1797.jpeg
I-1501,EOAT,3,C20,2,I-1501.jpeg
I-1919,EOAT,3,C20,3,I-1919.jpeg
I-1706,EOAT,3,C20,3,I-1706.jpeg
I-1571,EOAT,2,C21,1,I-1571.jpeg
I-1552,EOAT,2,C21,2,I-1552.jpeg
I-1534,EOAT,2,C21,3,I-1534.jpeg
I-1532,EOAT,2,C21,3,I-1532.jpeg
I-1555,EOAT,2,C22,1,I-1555.jpeg
I-1528,EOAT,2,C22,2,I-1528.jpeg
I-1527,EOAT,2,C22,2,I-1527.jpeg
I-1524,EOAT,2,C22,3,I-1524.jpeg
I-1500,EOAT,2,C22,3,I-1500.jpeg
I-1499,EOAT,2,C23,1,I-1499.jpeg
I-1473,EOAT,2,C23,1,I-1473.jpeg
I-1579,EOAT,2,C23,2,I-1579.jpeg
I-1431,EOAT,2,C23,3,I-1431.jpeg
I-1850,EOAT,2,C24,1,I-1850.jpeg
I-1923,EOAT,2,C24,2,I-1923.jpeg
I-1547,EOAT,2,C24,3,I-1547.jpeg
I-1543,EOAT,2,C24,3,I-1543.jpeg
I-1692,EOAT,2,C25,1,I-1692.jpeg
I-1688,EOAT,2,C25,1,I-1688.jpeg
I-1466,EOAT,2,C25,2,I-1466.jpeg
I-1429,EOAT,2,C25,2,I-1429.jpeg
I-1467,EOAT,2,C25,3,I-1467.jpeg
I-1362,EOAT,2,C25,3,I-1362.jpeg
,Libre,2,C26,1,
,Libre,2,C26,2,
,Libre,2,C26,3,
,Libre,2,C27,1,
,Libre,2,C27,2,
,Libre,2,C27,3,
,Libre,2,C28,1,
,Libre,2,C28,2,
,Libre,2,C28,3,
